ID,statis,pvalue,Dtype
1,0.26,1.39e-06,1
2,0.28,1.46e-07,1
3,0.28,4.61e-07,1
4,0.22,0.0,"0, 1, 2, 3"
5,0.17,0.01,"0, 1, 2, 3"
6,0.17,0.01,"0, 1, 2, 3, 4"
7,0.22,0.0,1
8,0.16,0.02,"0, 1, 3"
9,0.14,0.03,"0, 2, 3, 4"
10,0.18,0.0,1
11,0.18,0.0,"0, 1, 2, 3"
12,0.11,0.18,0
