ID,statis,pvalue,Dtype
1,0.16,0.02,"1, 2, 3"
2,0.2,0.0,"1, 2, 3, 4"
3,0.19,0.0,1
4,0.18,0.0,1
5,0.13,0.07,0
6,0.16,0.01,"0, 1, 2, 3, 4"
7,0.14,0.05,0
8,0.13,0.07,0
9,0.12,0.09,0
10,0.18,0.0,1
11,0.1,0.27,0
12,0.15,0.02,"0, 1, 2, 3, 4"
