ID1,ID2,statis,pvalue,Dtype,statis,pvalue,Dtype,statis,pvalue,Dtype
2013,2014,0.19,0.0,1,0.2,0.0,1,0.21,0.0,1
2014,2015,0.1,0.27,0,0.11,0.18,0,0.14,0.03,"1, 2, 3, 4"
