ID,y1,y2,y3,tag
21455,17637.5166666667,4997.8,0,1
12283,17094,5916.68333333333,0,1
19976,16997.1333333333,6012.7,0,1
56218,16765.45,5863.85,0,1
57850,17395.25,4180.93333333333,0,1
304,17597.9333333333,3224.66666666667,0,1
23384,16742.8166666667,957.633333333333,0,1
65838,17529.7666666667,1512.8,0,1
1192,17461.7,214.65,0,1
59484,16624.0833333333,4395.3,0,1
95732,16996.8333333333,5460.7,0,1
93370,17073.6333333333,1488.81666666667,0,1
71632,16043.0666666667,4515.31666666667,0,1
91460,15821.9166666667,6204.68333333333,0,1
796,15589.1166666667,1090.3,0,1
63822,15984.6333333333,5191.23333333333,0,1
75656,15985.0166666667,4232.05,0,1
91632,15201.3833333333,840,0,1
30539,15469.9833333333,575.2,0,1
20936,15250.05,2557.81666666667,0,1
33806,15798.5166666667,1127.95,0,1
45054,14957.7833333333,5988.68333333333,0,1
77158,14719.8666666667,6672.33333333333,0,1
35000,14681.3666666667,7056.8,0,1
1566,15303.9,5070.38333333333,0,1
68876,14739.4833333333,506,0,1
5567,14798.9666666667,1284.58333333333,0,1
33380,14506.05,792.016666666667,0,1
95377,14776.3833333333,5268.73333333333,0,1
58844,14511.6333333333,143.983333333333,0,1
1007,14531.6833333333,1932.3,0,1
85628,13802.0333333333,5429.83333333333,0,1
90806,13757.1333333333,922.2,0,1
3380,13561.9666666667,5859.26666666667,0,1
18915,14077.3833333333,1321.13333333333,0,1
26607,13381.0333333333,631.466666666667,0,1
16701,14255.3666666667,2046.86666666667,0,1
2053,14099.65,214.65,0,1
83415,13574.0833333333,343.466666666667,0,1
49245,14019.35,261.65,0,1
63598,14074.1166666667,274.383333333333,0,1
62271,13067.7,263.833333333333,0,1
89933,13280.8666666667,4923.7,0,1
18043,13113.4666666667,696.016666666667,0,1
21450,13012.9,3953.06666666667,0,1
14645,13047.55,765.616666666667,0,1
7254,12698.1333333333,6346.01666666667,0,1
71609,12740.1166666667,6479.75,0,1
87289,12514.05,335.75,0,1
45279,13324.65,23.9833333333333,0,1
14954,12509.9666666667,6156.68333333333,0,1
11255,12612.6666666667,1727.93333333333,0,1
8597,13283.5666666667,6217.56666666667,0,1
28421,13338.0166666667,5244.71666666667,0,1
36113,13302,5115.85,0,1
47799,12386.1666666667,146.583333333333,0,1
169,12365.0833333333,287.583333333333,0,1
34935,13082.0333333333,5626.01666666667,0,1
97507,12341.1166666667,1945.15,0,1
53727,12275.4666666667,6407.75,0,1
96187,12242.05,6130.03333333333,0,1
69709,12076.8333333333,6060.7,0,1
32433,12711.3166666667,4877.83333333333,0,1
7284,11947.1666666667,7755.16666666667,0,1
21789,11862,5964.68333333333,0,1
84507,11687.7833333333,7464.45,0,1
34811,12427.1666666667,4012.91666666667,0,1
785,11745.15,415.5,0,1
40729,11618.1666666667,2.6,0,1
18541,11615.6166666667,167.816666666667,0,1
69579,12012.9166666667,27.35,0,1
82301,11570.1333333333,6154.05,0,1
40143,11520.4166666667,4684.46666666667,0,1
34675,12153.8333333333,1403.55,0,1
12782,11464.75,2671.85,0,1
71509,11333.15,6012.73333333333,0,1
87189,11221.7,5956.16666666667,0,1
18996,11378.7,3872.66666666667,0,1
96809,11690.1666666667,5746.05,0,1
39859,11665.8833333333,5746.05,0,1
32611,11261.9833333333,5763.36666666667,0,1
