0,1,2
1.8134471726831187e-19,5.484246674343275e-05,2.5602560056696233e-05
2.0055757990751388e-19,5.494307812075699e-05,2.5649529293918588e-05
2.216668193656667e-19,5.504322440414326e-05,2.569628140751055e-05
2.448459551851537e-19,5.514291001428175e-05,2.574281846121931e-05
2.702831391412608e-19,5.5242139303776275e-05,2.578914248700671e-05
2.9818228433922756e-19,5.5340916558585894e-05,2.58352554857223e-05
3.287642733445049e-19,5.5439245999427435e-05,2.5881159427758045e-05
3.6226825030896484e-19,5.553713178314102e-05,2.5926856253685826e-05
3.989530023311877e-19,5.5634578004018965e-05,2.597234787487782e-05
4.390984355778075e-19,5.573158869509985e-05,2.6017636174110612e-05
4.830071519952437e-19,5.5828167829428694e-05,2.6062723006153508e-05
5.310061327581716e-19,5.5924319321283935e-05,2.610761019834132e-05
5.8344853493260065e-19,5.602004702737295e-05,2.615229955113249e-05
6.407156081788938e-19,5.611535474799658e-05,2.6196792838652733e-05
7.0321873868318975e-19,5.62102462281836e-05,2.6241091809224656e-05
7.714016278858248e-19,5.630472515879663e-05,2.6285198185884018e-05
8.457426139728235e-19,5.6398795177609635e-05,2.6329113666882786e-05
9.267571445117864e-19,5.6492459870358415e-05,2.6372839926179505e-05
1.0150004090478944e-18,5.6585722771764715e-05,2.6416378613917415e-05
1.1110701409290875e-18,5.667858736653463e-05,2.645973135689054e-05
1.2156095981034161e-18,5.6771057090332484e-05,2.6502899758998334e-05
1.3293107331259685e-18,5.6863135330730306e-05,2.6545885401688917e-05
1.4529175631292512e-18,5.695482542813437e-05,2.6588689844391646e-05
1.5872297510493834e-18,5.704613067668874e-05,2.6631314624938898e-05
1.733106409962738e-18,5.713705432515703e-05,2.6673761259977727e-05
1.8914701429734647e-18,5.7227599577782916e-05,2.6716031245371575e-05
2.0633113317035676e-18,5.731776959512964e-05,2.6758126056592197e-05
2.2496926870740668e-18,5.740756749489991e-05,2.6800047149102393e-05
2.451754076729433e-18,5.749699635273562e-05,2.684179595872939e-05
2.6707176441486775e-18,5.758605920299932e-05,2.688337390202962e-05
2.9078932352067772e-18,5.767475903953677e-05,2.6924782376644744e-05
3.164684148699436e-18,5.776309881642183e-05,2.6966022761649366e-05
3.44259322812469e-18,5.785108144868391e-05,2.700709641789066e-05
3.743229312826618e-18,5.7938709813018536e-05,2.7048004688320064e-05
4.068314067451418e-18,5.802598674848155e-05,2.708874889831739e-05
4.419689209544134e-18,5.811291505716726e-05,2.7129330356007375e-05
4.7993241560287185e-18,5.819949750487115e-05,2.7169750352569094e-05
5.209324110262728e-18,5.828573682173757e-05,2.72100101625383e-05
5.6519386123457156e-18,5.83716357028925e-05,2.725011104410283e-05
6.1295705763853505e-18,5.8457196809062414e-05,2.7290054239391524e-05
6.644785839490856e-18,5.854242276717897e-05,2.73298409747565e-05
7.20032324836877e-18,5.862731617097032e-05,2.7369472461049225e-05
7.799105310546455e-18,5.8711879581539325e-05,2.7408949893890425e-05
8.444249438437503e-18,5.8796115527928896e-05,2.744827445393401e-05
9.139079815705275e-18,5.8880026507674946e-05,2.7487447307125228e-05
9.88713991665902e-18,5.896361498734724e-05,2.7526469604953143e-05
1.0692205710753365e-17,5.904688340307834e-05,2.756534248469757e-05
1.1558299585638361e-17,5.91298341610814e-05,2.7604067069670786e-05
1.2489705023643979e-17,5.921246963815621e-05,2.7642644469453814e-05
1.3490982068059848e-17,5.9294792182185096e-05,2.7681075780127878e-05
1.4566983617117653e-17,5.9376804112617504e-05,2.771936208450065e-05
1.572287258516756e-17,5.9458507720944726e-05,2.7757504452327873e-05
1.6964139972199182e-17,5.953990527116444e-05,2.779550394053022e-05
1.8296623884560196e-17,5.962099900023532e-05,2.783336159340551e-05
1.9726529551500283e-17,5.970179111852231e-05,2.787107844283661e-05
2.1260450383995852e-17,5.978228381023235e-05,2.7908655508494823e-05
2.290539012421421e-17,5.986247923384133e-05,2.794609379803921e-05
2.4668786135927794e-17,5.9942379522511884e-05,2.7983394307311648e-05
2.655853388822951e-17,6.0021986784502696e-05,2.802055802052789e-05
2.858301268699263e-17,6.010130310356952e-05,2.8057585910464784e-05
3.075111271069382e-17,6.018033053935782e-05,2.809447893864358e-05
3.307226340946039e-17,6.025907112778743e-05,2.8131238055509488e-05
3.5556463328523674e-17,6.033752688142959e-05,2.816786420060771e-05
3.821431141966335e-17,6.041569978987608e-05,2.8204358302755754e-05
4.1057039906695226e-17,6.049359182010129e-05,2.824072128021247e-05
4.409654877362735e-17,6.057120491681671e-05,2.8276954040843527e-05
4.734544194674423e-17,6.064854100281857e-05,2.8313057482283725e-05
5.081706524461213e-17,6.0725601979328594e-05,2.834903249209605e-05
5.452554617282188e-17,6.080238972632773e-05,2.8384879947927486e-05
5.848583564318958e-17,6.0878906102883834e-05,2.8420600717661984e-05
6.271375170014037e-17,6.095515294747233e-05,2.8456195659570173e-05
6.72260253401083e-17,6.1031132078291235e-05,2.8491665622456396e-05
7.204034851296655e-17,6.110684529356944e-05,2.8527011445802656e-05
7.717542439781773e-17,6.118229437186958e-05,2.8562233959909997e-05
8.265102004886748e-17,6.125748107238478e-05,2.859733398603703e-05
8.848802151060916e-17,6.133240713522965e-05,2.8632312336535788e-05
9.470849150517014e-17,6.140707428172598e-05,2.8667169814985097e-05
1.0133572979839785e-16,6.148148421468277e-05,2.8701907216321315e-05
1.0839433635509584e-16,6.155563861867098e-05,2.8736525326966573e-05
1.159102773977911e-16,6.162953916029345e-05,2.8771024924954807e-05
1.2391095448748272e-16,6.170318748844898e-05,2.880540678005502e-05
1.3242527674902648e-16,6.177658523459235e-05,2.8839671653892703e-05
