0,1,2,3
0.0,0.0,0.0,0.0
0.0,1.7600780523276654e-07,0.0,9.993493538991911e-08
0.0,3.589916015439101e-07,0.0,2.0383074749650597e-07
0.0,5.445976482057572e-07,0.0,3.0921543913901567e-07
0.0,7.318662628565618e-07,0.0,4.15544115193683e-07
0.0,9.203359312734685e-07,0.0,5.225547339062711e-07
0.0,1.1097324328456528e-06,0.0,6.30091596391784e-07
0.0,1.2998733176105544e-06,0.0,7.380511099419538e-07
0.0,1.4906281660050793e-06,0.0,8.463592240304747e-07
0.0,1.681898983087585e-06,0.0,9.549602984080487e-07
0.0,1.8736093771182492e-06,0.0,1.0638109588415084e-06
0.0,2.065698086969411e-06,0.0,1.172876422061858e-06
0.0,2.258114868538163e-06,0.0,1.2821281601230153e-06
0.0,2.4508177530186917e-06,0.0,1.3915423436846179e-06
0.0,2.643771148041486e-06,0.0,1.50109876386364e-06
0.0,2.8369444802842307e-06,0.0,1.61078006152657e-06
0.0,3.030311199031718e-06,0.0,1.720571161523727e-06
0.0,3.2238480279643426e-06,0.0,1.8304588478645316e-06
0.0,3.417534392267467e-06,0.0,1.9404314384376776e-06
0.0,3.611351972457223e-06,0.0,2.050478531679244e-06
0.0,3.8052843516587052e-06,0.0,2.160590806301855e-06
0.0,3.999316733041129e-06,0.0,2.2707598608580495e-06
0.0,4.193435710760639e-06,0.0,2.3809780836845953e-06
0.0,4.387629082293826e-06,0.0,2.491238546347911e-06
0.0,4.581885693198935e-06,0.0,2.601534915501503e-06
0.0,4.776195307577195e-06,0.0,2.711861379335599e-06
0.0,4.970548499116777e-06,0.0,2.8222125857133314e-06
0.0,5.16493655877947e-06,0.0,2.9325835897564328e-06
0.0,5.359351416062897e-06,0.0,3.0429698091389502e-06
0.0,5.553785571426126e-06,0.0,3.153366985719392e-06
0.0,5.748232037963927e-06,0.0,3.2637711524241293e-06
0.0,5.942684290796411e-06,0.0,3.3741786045114916e-06
0.0,6.137136222936425e-06,0.0,3.4845858745138537e-06
0.0,6.331582106628136e-06,0.0,3.594989710286185e-06
0.0,6.526016559332746e-06,0.0,3.705387055693184e-06
0.0,6.720434513681798e-06,0.0,3.8157750335491555e-06
0.0,6.914831190834682e-06,0.0,3.926150930490752e-06
0.0,7.109202076770421e-06,0.0,4.0365121835157584e-06
0.0,7.3035429011196935e-06,0.0,4.146856367964191e-06
0.0,7.49784961820489e-06,0.0,4.2571811867530875e-06
0.0,7.692118390006959e-06,0.0,4.367484460705307e-06
0.0,7.886345570819744e-06,0.0,4.47776411983646e-06
0.0,8.080527693387393e-06,0.0,4.588018195483912e-06
0.0,8.274661456349457e-06,0.0,4.698244813178272e-06
0.0,8.46874371284258e-06,0.0,4.808442186171587e-06
0.0,8.662771460128331e-06,0.0,4.918608609548153e-06
0.0,8.856741830133952e-06,0.0,5.028742454853678e-06
0.0,9.05065208080736e-06,0.0,5.138842165186765e-06
0.0,9.244499588200558e-06,0.0,5.248906250703978e-06
0.0,9.438281839206021e-06,0.0,5.358933284495652e-06
0.0,9.63199642487992e-06,0.0,5.468921898794912e-06
0.0,9.82564103429395e-06,0.0,5.578870781486818e-06
0.0,1.0019213448864295e-05,0.0,5.688778672888424e-06
0.0,1.021271153711223e-05,0.0,5.798644362773923e-06
0.0,1.0406133249815878e-05,0.0,5.908466687621866e-06
0.0,1.059947661551726e-05,0.0,6.018244528064139e-06
0.0,1.0792739736352537e-05,0.0,6.1279768065184125e-06
0.0,1.0985920784176767e-05,0.0,6.237662484987842e-06
0.0,1.1179017996957703e-05,0.0,6.347300563013508e-06
0.0,1.1372029675415371e-05,0.0,6.456890075766413e-06
0.0,1.1564954179887029e-05,0.0,6.566430092267442e-06
0.0,1.1757789927398672e-05,0.0,6.675919713724612e-06
0.0,1.1950535388926382e-05,0.0,6.785358071978089e-06
0.0,1.2143189086832343e-05,0.0,6.894744328044403e-06
0.0,1.2335749592461745e-05,0.0,7.004077670751991e-06
0.0,1.2528215523888074e-05,0.0,7.113357315461009e-06
0.0,1.2720585543795578e-05,0.0,7.222582502861021e-06
0.0,1.291285835748846e-05,0.0,7.331752497840647e-06
0.0,1.310503271101755e-05,0.0,7.440866588423908e-06
0.0,1.3297107389415821e-05,0.0,7.549924084768379e-06
0.0,1.3489081215034945e-05,0.0,7.658924318220703e-06
0.0,1.3680953045975701e-05,0.0,7.767866640425402e-06
0.0,1.3872721774605768e-05,0.0,7.876750422483295e-06
0.0,1.4064386326158787e-05,0.0,7.985575054156066e-06
0.0,1.4255945657409269e-05,0.0,8.094339943113897e-06
0.0,1.4447398755418143e-05,0.0,8.203044514223194e-06
0.0,1.4638744636344431e-05,0.0,8.31168820887189e-06
0.0,1.4829982344318657e-05,0.0,8.420270484329766e-06
